,Производитель,Модель,Ширина,Профиль,"Диаметр, R",Индекс скорости,Индекс нагрузки,Цена,Производитель_числ,Индекс скорости_числ
1199,Hankook,Winter i Pike RS2 W429,225.0,40.0,18.0,T,92.0,16080.0,6.0,5.0
1200,Nokian,Tyres Hakkapeliitta 10p SUV,245.0,50.0,19.0,T,105.0,24780.0,23.0,5.0
1201,Michelin,X-Ice North 4,205.0,60.0,15.0,T,95.0,9940.0,19.0,5.0
1202,Continental,Winter Contact TS 860 S,305.0,35.0,21.0,V,109.0,32040.0,8.0,2.0
1203,Continental,Winter Contact TS 850 P SUV,275.0,45.0,21.0,V,110.0,29050.0,8.0,2.0
1204,Continental,Winter Contact TS 860 S Run Flat,275.0,40.0,20.0,V,106.0,31130.0,8.0,2.0
1205,Continental,Winter Contact TS 850 P SUV,225.0,60.0,17.0,H,99.0,16710.0,8.0,0.0
1206,Dunlop,SP Winter Ice 02,185.0,60.0,14.0,T,82.0,6580.0,14.0,5.0
1207,Nokian,Tyres Nordman 7,195.0,55.0,15.0,T,89.0,7300.0,23.0,5.0
1208,Nokian,Tyres Hakkapeliitta R 3 SUV,285.0,60.0,18.0,R,116.0,16180.0,23.0,8.0
1209,Pirelli,Cinturato Winter 2,195.0,55.0,16.0,H,91.0,12310.0,29.0,0.0
1210,Nokian,Tyres Nordman 7 SUV,265.0,70.0,16.0,T,112.0,12980.0,23.0,5.0
1211,Nokian,Tyres Hakkapeliitta 9 SUV,265.0,65.0,17.0,T,116.0,17930.0,23.0,5.0
1212,Laufenn,I FIT ICE LW71,195.0,55.0,16.0,T,91.0,8060.0,11.0,5.0
1213,Bridgestone,Blizzak DM-V2,275.0,55.0,20.0,T,117.0,20500.0,16.0,5.0
1214,Nankang,SW8 SUV,225.0,40.0,18.0,T,92.0,8090.0,33.0,5.0
1215,Nokian,Tyres Hakkapeliitta 10p SUV,265.0,65.0,18.0,T,114.0,23590.0,23.0,5.0
1216,Cordiant,Winter Drive 2,215.0,55.0,17.0,T,98.0,7330.0,0.0,5.0
1217,Cordiant,Snow Cross,235.0,55.0,17.0,T,103.0,8130.0,0.0,5.0
1218,Cordiant,Winter Drive,175.0,65.0,14.0,T,82.0,3180.0,0.0,5.0
1219,Cordiant,Winter Drive 2 SUV,215.0,60.0,17.0,T,100.0,7420.0,0.0,5.0
1220,Hankook,Winter i Pike RS2 W429,215.0,55.0,16.0,T,97.0,9880.0,6.0,5.0
1221,Viatti,Bosco Nordico (V-523),265.0,65.0,17.0,T,112.0,8370.0,20.0,5.0
1222,Bridgestone,Blizzak LM005,195.0,65.0,15.0,H,91.0,8610.0,16.0,0.0
1223,Cordiant,Winter Drive 2,205.0,55.0,16.0,T,94.0,5110.0,0.0,5.0
1224,Белшина,BEL-464,215.0,60.0,17.0,H,96.0,6420.0,25.0,0.0
1225,Nokian,Tyres Nordman 8,205.0,45.0,17.0,T,88.0,12513.0,23.0,5.0
1226,Nokian,Tyres Nordman 8 SUV,225.0,55.0,19.0,T,103.0,19570.0,23.0,5.0
1227,Nokian,Tyres Hakkapeliitta 10p Run Flat,245.0,45.0,18.0,T,100.0,30330.0,23.0,5.0
1228,Bridgestone,Blizzak Spike-02,225.0,45.0,18.0,T,91.0,17530.0,16.0,5.0
1229,Ling,Long Green-Max Winter HP,185.0,60.0,14.0,T,82.0,3490.0,24.0,5.0
1230,Ling,Long Green-Max Winter Grip VAN 2,195.0,75.0,16.0,R,107.0,7700.0,24.0,8.0
1231,Ling,Long Green-Max Winter Grip VAN 2,225.0,75.0,16.0,R,121.0,10070.0,24.0,8.0
1232,Ling,Long Green-Max Winter Grip VAN 2,215.0,75.0,16.0,R,116.0,7990.0,24.0,8.0
1233,Michelin,Pilot Alpin 5,245.0,40.0,18.0,V,97.0,18650.0,19.0,2.0
1234,Nokian,Tyres Hakkapeliitta R5,175.0,65.0,14.0,R,82.0,7540.0,23.0,8.0
1235,Nokian,Tyres Hakkapeliitta R5,215.0,60.0,16.0,R,99.0,13820.0,23.0,8.0
1236,Nokian,Tyres Nordman 7 SUV,235.0,65.0,18.0,T,110.0,13230.0,23.0,5.0
1237,Nankang,SW9,215.0,65.0,17.0,T,103.0,8030.0,33.0,5.0
1238,Nokian,Tyres Hakkapeliitta 9,255.0,35.0,19.0,T,96.0,24960.0,23.0,5.0
1239,Nokian,Tyres Hakkapeliitta 9,215.0,40.0,17.0,T,87.0,15410.0,23.0,5.0
1240,Nokian,Tyres Hakkapeliitta 9,175.0,65.0,15.0,T,88.0,8000.0,23.0,5.0
1241,Nokian,Tyres Hakkapeliitta 9 SUV,265.0,70.0,17.0,T,115.0,21270.0,23.0,5.0
1242,Nokian,Tyres Hakkapeliitta 9 SUV Run Flat,265.0,50.0,19.0,T,110.0,28430.0,23.0,5.0
1243,Nokian,Tyres Hakkapeliitta 9 SUV,265.0,70.0,16.0,T,112.0,20450.0,23.0,5.0
1244,Nokian,Tyres Hakkapeliitta R3,235.0,45.0,18.0,T,98.0,19610.0,23.0,5.0
1245,Nokian,Tyres Hakkapeliitta R3,235.0,55.0,17.0,R,103.0,14630.0,23.0,8.0
1246,Nokian,Tyres Hakkapeliitta R3,235.0,45.0,19.0,T,99.0,17200.0,23.0,5.0
1247,Nokian,Tyres Hakkapeliitta R3,205.0,65.0,16.0,R,99.0,10340.0,23.0,8.0
1248,Nokian,Tyres Hakkapeliitta R3,205.0,55.0,17.0,R,95.0,14270.0,23.0,8.0
1249,Nokian,Tyres Hakkapeliitta R3,185.0,60.0,15.0,R,88.0,8170.0,23.0,8.0
1250,Nokian,Tyres Hakkapeliitta R3,205.0,50.0,17.0,R,93.0,12720.0,23.0,8.0
1251,Nokian,Tyres Hakkapeliitta R3,225.0,55.0,17.0,R,101.0,13400.0,23.0,8.0
1252,Nokian,Tyres Hakkapeliitta R3,225.0,50.0,18.0,R,99.0,19770.0,23.0,8.0
1253,Nokian,Tyres Hakkapeliitta R 3 SUV,255.0,55.0,19.0,R,111.0,18310.0,23.0,8.0
1254,Nokian,Tyres Hakkapeliitta R 3 SUV,235.0,65.0,18.0,R,110.0,15540.0,23.0,8.0
1255,Nokian,Tyres Hakkapeliitta R 3 SUV,295.0,40.0,21.0,T,111.0,23270.0,23.0,5.0
1256,Nokian,Tyres Hakkapeliitta R 3 SUV,225.0,55.0,19.0,R,103.0,17890.0,23.0,8.0
1257,Nokian,Tyres Hakkapeliitta R 3 SUV,225.0,65.0,17.0,R,106.0,13080.0,23.0,8.0
1258,Nokian,Tyres Hakkapeliitta 9,215.0,55.0,16.0,T,97.0,11510.0,23.0,5.0
1259,Nokian,Tyres Hakkapeliitta 9,245.0,50.0,18.0,T,104.0,18950.0,23.0,5.0
1260,Nokian,Tyres Nordman 7,155.0,80.0,13.0,T,79.0,5030.0,23.0,5.0
1261,Nokian,Tyres Nordman 7,165.0,65.0,14.0,T,79.0,5170.0,23.0,5.0
1262,Nokian,Tyres Nordman 7 SUV,245.0,65.0,17.0,T,111.0,13990.0,23.0,5.0
1263,Nokian,Tyres Hakkapeliitta 9 SUV,245.0,60.0,18.0,T,109.0,19060.0,23.0,5.0
1264,Michelin,X-Ice 3,185.0,60.0,15.0,H,88.0,5990.0,19.0,0.0
1265,Pirelli,Scorpion Winter,235.0,60.0,18.0,H,107.0,24550.0,29.0,0.0
1266,Pirelli,Scorpion Winter,295.0,35.0,21.0,V,107.0,38000.0,29.0,2.0
1267,Pirelli,Scorpion Winter,295.0,40.0,20.0,V,106.0,43280.0,29.0,2.0
1268,Pirelli,Scorpion Winter,265.0,45.0,20.0,V,104.0,38870.0,29.0,2.0
1269,Pirelli,Scorpion Winter,315.0,40.0,21.0,V,111.0,46140.0,29.0,2.0
1270,Pirelli,Scorpion Winter,215.0,65.0,17.0,H,99.0,22840.0,29.0,0.0
1271,Pirelli,Scorpion Winter,295.0,45.0,20.0,V,114.0,50060.0,29.0,2.0
1272,Pirelli,Scorpion Winter,235.0,50.0,19.0,H,103.0,25830.0,29.0,0.0
1273,Pirelli,Scorpion Winter,295.0,35.0,21.0,V,107.0,42230.0,29.0,2.0
1274,Pirelli,Scorpion Winter,235.0,65.0,19.0,V,109.0,31930.0,29.0,2.0
1275,Pirelli,Scorpion Winter,255.0,55.0,20.0,V,110.0,33930.0,29.0,2.0
1276,Pirelli,Scorpion Winter,275.0,40.0,20.0,V,106.0,34720.0,29.0,2.0
1277,Pirelli,Scorpion Winter,225.0,65.0,17.0,H,106.0,24220.0,29.0,0.0
1278,Nokian,Tyres Hakkapeliitta 10p,255.0,35.0,19.0,T,96.0,29350.0,23.0,5.0
1279,Nokian,Tyres Hakkapeliitta 10p SUV,255.0,50.0,20.0,T,109.0,27160.0,23.0,5.0
1280,Nokian,Tyres Hakkapeliitta 10p SUV,255.0,55.0,20.0,T,110.0,27610.0,23.0,5.0
1281,Nokian,Tyres Hakkapeliitta 10p SUV,255.0,60.0,18.0,T,112.0,22250.0,23.0,5.0
1282,Nokian,Tyres Hakkapeliitta 10p SUV,265.0,70.0,16.0,T,112.0,26340.0,23.0,5.0
1283,Nokian,Tyres Hakkapeliitta 10p SUV,275.0,50.0,21.0,T,113.0,35190.0,23.0,5.0
1284,Nokian,Tyres Hakkapeliitta 10p SUV,275.0,55.0,20.0,T,117.0,26690.0,23.0,5.0
1285,Nokian,Tyres Hakkapeliitta 10p SUV,285.0,40.0,22.0,T,110.0,50970.0,23.0,5.0
1286,Nokian,Tyres Hakkapeliitta 10p SUV,285.0,45.0,20.0,T,112.0,31690.0,23.0,5.0
1287,Nokian,Tyres Hakkapeliitta 9,215.0,55.0,16.0,T,97.0,11510.0,23.0,5.0
1288,Pirelli,Scorpion Winter,315.0,45.0,21.0,V,116.0,58210.0,29.0,2.0
1289,Pirelli,Cinturato Winter 2,225.0,40.0,18.0,V,92.0,14320.0,29.0,2.0
1290,Pirelli,Cinturato Winter 2,225.0,45.0,17.0,V,94.0,16030.0,29.0,2.0
1291,Pirelli,Cinturato Winter 2,225.0,50.0,17.0,V,98.0,15000.0,29.0,2.0
1292,Pirelli,Cinturato Winter 2,215.0,50.0,17.0,V,95.0,14990.0,29.0,2.0
1293,Pirelli,Cinturato Winter 2,205.0,55.0,17.0,T,95.0,14680.0,29.0,5.0
1294,Pirelli,Winter Sotto Zero Serie III,225.0,40.0,19.0,H,93.0,28230.0,29.0,0.0
1295,Michelin,X-Ice North 2,195.0,55.0,16.0,T,91.0,10730.0,19.0,5.0
1296,Michelin,Pilot Alpin 4,285.0,40.0,19.0,W,107.0,32430.0,19.0,6.0
1297,Michelin,Pilot Alpin 4,295.0,40.0,19.0,V,108.0,32210.0,19.0,2.0
1298,Nokian,Tyres Hakkapeliitta R5 SUV,215.0,55.0,18.0,R,99.0,19400.0,23.0,8.0
1299,Nokian,Tyres Hakkapeliitta R5 SUV,225.0,55.0,18.0,R,102.0,19270.0,23.0,8.0
1300,Nokian,Tyres Hakkapeliitta R5 SUV,235.0,55.0,18.0,R,104.0,20420.0,23.0,8.0
1301,Nokian,Tyres Hakkapeliitta R5 SUV,255.0,55.0,19.0,R,111.0,22740.0,23.0,8.0
1302,Nokian,Tyres Hakkapeliitta R5 SUV,255.0,50.0,19.0,R,107.0,24410.0,23.0,8.0
1303,Nokian,Tyres Hakkapeliitta R5 SUV,275.0,45.0,20.0,T,110.0,24240.0,23.0,5.0
1304,Nokian,Tyres Hakkapeliitta R5 SUV,275.0,45.0,21.0,T,110.0,31360.0,23.0,5.0
1305,Nokian,Tyres Hakkapeliitta R5,205.0,65.0,16.0,R,99.0,12830.0,23.0,8.0
1306,Nokian,Tyres Hakkapeliitta R5,205.0,55.0,16.0,R,94.0,12330.0,23.0,8.0
1307,Nokian,Tyres Hakkapeliitta R5,225.0,55.0,17.0,R,101.0,17510.0,23.0,8.0
1308,Nokian,Tyres Hakkapeliitta R5,225.0,50.0,17.0,R,98.0,16960.0,23.0,8.0
1309,Nokian,Tyres Hakkapeliitta R5 Run Flat,225.0,50.0,17.0,R,94.0,24480.0,23.0,8.0
1310,Nokian,Tyres Hakkapeliitta R5,235.0,55.0,17.0,R,103.0,18950.0,23.0,8.0
1311,Nokian,Tyres Hakkapeliitta R5,235.0,45.0,18.0,T,98.0,26180.0,23.0,5.0
1312,Nokian,Tyres Hakkapeliitta R5,245.0,40.0,18.0,T,97.0,20590.0,23.0,5.0
1313,Nokian,Tyres Hakkapeliitta R5,255.0,45.0,19.0,T,104.0,23270.0,23.0,5.0
1314,Nokian,Tyres Hakkapeliitta R5,275.0,35.0,19.0,T,100.0,35770.0,23.0,5.0
1315,Nokian,Tyres Hakkapeliitta R5,245.0,40.0,20.0,T,99.0,31020.0,23.0,5.0
1316,Pirelli,Cinturato Winter 2,215.0,55.0,17.0,V,98.0,19220.0,29.0,2.0
1317,Pirelli,Winter Sotto Zero Serie III,275.0,40.0,18.0,V,103.0,52650.0,29.0,2.0
1318,Pirelli,Winter Sotto Zero Serie III,255.0,35.0,19.0,H,96.0,27590.0,29.0,0.0
1319,Pirelli,Winter Sotto Zero Serie III,285.0,35.0,20.0,V,104.0,44330.0,29.0,2.0
1320,Pirelli,Winter Sotto Zero Serie III,245.0,40.0,20.0,W,99.0,41240.0,29.0,6.0
1321,Pirelli,Winter Sotto Zero Serie III,225.0,40.0,19.0,H,93.0,28230.0,29.0,0.0
1322,Pirelli,Winter Sotto Zero Serie III,225.0,55.0,16.0,H,99.0,15320.0,29.0,0.0
1323,Michelin,X-Ice North 2,195.0,55.0,15.0,T,89.0,9590.0,19.0,5.0
1324,Michelin,X-Ice North 2,195.0,55.0,16.0,T,91.0,10730.0,19.0,5.0
1325,Nokian,Tyres Hakkapeliitta 10p,255.0,35.0,19.0,T,96.0,29350.0,23.0,5.0
1326,Nokian,Tyres Hakkapeliitta 10p SUV,255.0,50.0,20.0,T,109.0,27160.0,23.0,5.0
1327,Nokian,Tyres Hakkapeliitta 10p SUV,255.0,55.0,20.0,T,110.0,27610.0,23.0,5.0
1328,Nokian,Tyres Hakkapeliitta 10p SUV,255.0,60.0,18.0,T,112.0,22250.0,23.0,5.0
1329,Nokian,Tyres Hakkapeliitta 10p SUV,265.0,70.0,16.0,T,112.0,26340.0,23.0,5.0
1330,Nokian,Tyres Hakkapeliitta 10p SUV,275.0,50.0,21.0,T,113.0,35190.0,23.0,5.0
1331,Nokian,Tyres Hakkapeliitta 10p SUV,275.0,55.0,20.0,T,117.0,26690.0,23.0,5.0
1332,Nokian,Tyres Hakkapeliitta 10p SUV,285.0,40.0,22.0,T,110.0,50970.0,23.0,5.0
1333,Nokian,Tyres Hakkapeliitta 10p SUV,285.0,45.0,20.0,T,112.0,31690.0,23.0,5.0
1334,Hankook,Winter i Pike RS2 W429,255.0,40.0,19.0,T,100.0,19600.0,6.0,5.0
1335,Hankook,Winter i Pike RS2 W429,225.0,40.0,18.0,T,92.0,16080.0,6.0,5.0
1336,Hankook,DynaPro i*cept X RW10,285.0,60.0,18.0,T,116.0,15290.0,6.0,5.0
1337,Hankook,DynaPro i*cept X RW10,225.0,60.0,18.0,T,100.0,13920.0,6.0,5.0
1338,Hankook,DynaPro i*cept X RW10,265.0,60.0,18.0,T,110.0,15860.0,6.0,5.0
1339,Hankook,DynaPro i*cept X RW10,235.0,65.0,18.0,T,106.0,15210.0,6.0,5.0
1340,Hankook,DynaPro i*cept X RW10,225.0,60.0,17.0,T,99.0,12610.0,6.0,5.0
1341,Hankook,DynaPro i*cept X RW10,275.0,55.0,20.0,T,117.0,21220.0,6.0,5.0
1342,Hankook,Winter i Pike RS2 W429,235.0,40.0,18.0,T,95.0,17960.0,6.0,5.0
1343,Hankook,Winter i Pike RS2 W429,245.0,50.0,18.0,T,104.0,17690.0,6.0,5.0
1344,Hankook,DynaPro i*cept X RW10,255.0,50.0,19.0,T,103.0,17270.0,6.0,5.0
1345,Hankook,DynaPro i*cept X RW10,275.0,45.0,20.0,T,110.0,20610.0,6.0,5.0
1346,Hankook,DynaPro i*cept X RW10,215.0,55.0,18.0,T,95.0,16810.0,6.0,5.0
1347,Hankook,DynaPro i*cept X RW10,255.0,55.0,18.0,T,109.0,14250.0,6.0,5.0
1348,Hankook,DynaPro i*cept X RW10,265.0,65.0,17.0,T,112.0,13660.0,6.0,5.0
1349,Hankook,DynaPro i*cept X RW10,285.0,50.0,20.0,T,116.0,22590.0,6.0,5.0
1350,Ling,Long Green-Max Winter Grip,185.0,65.0,14.0,T,90.0,4450.0,24.0,5.0
1351,Pirelli,Formula Winter,225.0,50.0,17.0,V,98.0,7940.0,29.0,2.0
1352,Pirelli,Formula Winter,195.0,65.0,15.0,H,91.0,5680.0,29.0,0.0
1353,Continental,Ice Contact 3 TA,245.0,40.0,19.0,T,98.0,21840.0,8.0,5.0
1354,Continental,Viking Contact 7,205.0,55.0,17.0,T,95.0,11760.0,8.0,5.0
1355,Laufenn,I FIT IZ LW51,205.0,55.0,16.0,T,91.0,6018.0,11.0,5.0
1356,Continental,Winter Contact TS 860 S,305.0,35.0,21.0,V,109.0,32040.0,8.0,2.0
1357,Continental,Winter Contact TS 850 P SUV,275.0,45.0,21.0,V,110.0,29050.0,8.0,2.0
1358,Continental,Winter Contact TS 860 S Run Flat,275.0,40.0,20.0,V,106.0,31130.0,8.0,2.0
1359,Continental,Winter Contact TS 850 P SUV,225.0,60.0,17.0,H,99.0,16710.0,8.0,0.0
1360,Continental,Conti Winter Contact TS 830 P,295.0,35.0,19.0,V,100.0,22180.0,8.0,2.0
1361,Continental,Viking Contact 7,285.0,50.0,20.0,T,116.0,19350.0,8.0,5.0
1362,Hankook,Winter i Pike X W429A,235.0,55.0,19.0,T,105.0,17140.0,6.0,5.0
1363,Hankook,DynaPro i*cept X RW10,225.0,70.0,16.0,T,103.0,13340.0,6.0,5.0
1364,Hankook,DynaPro i*cept X RW10,245.0,55.0,19.0,T,107.0,16550.0,6.0,5.0
1365,Viatti,Brina зима (V-521),205.0,50.0,17.0,T,89.0,6800.0,20.0,5.0
1366,Hankook,DynaPro i*cept X RW10,235.0,65.0,17.0,T,108.0,13360.0,6.0,5.0
1367,Laufenn,I FIT ICE LW71,235.0,55.0,17.0,T,103.0,12040.0,11.0,5.0
1368,Laufenn,I FIT ICE LW71,255.0,55.0,18.0,T,109.0,12130.0,11.0,5.0
1369,Laufenn,I FIT ICE LW71,215.0,65.0,17.0,T,99.0,9400.0,11.0,5.0
1370,Continental,Viking Contact 7,275.0,45.0,20.0,T,110.0,19980.0,8.0,5.0
1371,Continental,Viking Contact 7,215.0,50.0,17.0,T,95.0,12150.0,8.0,5.0
1372,Continental,Viking Contact 7,235.0,55.0,19.0,T,105.0,19460.0,8.0,5.0
1373,Continental,Viking Contact 7,235.0,65.0,17.0,T,108.0,14060.0,8.0,5.0
1374,Continental,Viking Contact 7,205.0,45.0,17.0,T,88.0,11260.0,8.0,5.0
1375,Continental,Viking Contact 7,205.0,65.0,15.0,T,99.0,8350.0,8.0,5.0
1376,Continental,Viking Contact 7,225.0,55.0,17.0,T,101.0,13140.0,8.0,5.0
1377,Continental,Viking Contact 7,195.0,55.0,16.0,T,91.0,8740.0,8.0,5.0
1378,Continental,Viking Contact 7,255.0,55.0,19.0,T,111.0,18700.0,8.0,5.0
1379,Continental,Viking Contact 7,225.0,60.0,17.0,T,103.0,14250.0,8.0,5.0
1380,Continental,Viking Contact 7,235.0,60.0,17.0,T,106.0,14270.0,8.0,5.0
1381,Continental,Viking Contact 7,215.0,65.0,17.0,T,103.0,13830.0,8.0,5.0
1382,Continental,Viking Contact 7,225.0,55.0,18.0,T,102.0,16610.0,8.0,5.0
1383,Continental,Viking Contact 7,255.0,45.0,18.0,T,103.0,18250.0,8.0,5.0
1384,Hankook,I Pike RW11,275.0,40.0,20.0,T,106.0,20470.0,6.0,5.0
1385,Viatti,Vettore Brina зима (V-525),195.0,70.0,15.0,R,104.0,6410.0,20.0,8.0
1386,Viatti,Bosco зима (V-526),225.0,65.0,17.0,T,102.0,6360.0,20.0,5.0
1387,Laufenn,I FIT IZ LW51,205.0,60.0,16.0,T,92.0,6042.0,11.0,5.0
1388,Laufenn,I FIT IZ LW51,215.0,55.0,17.0,T,94.0,7540.0,11.0,5.0
1389,Laufenn,I FIT IZ LW51,225.0,60.0,17.0,T,99.0,8036.0,11.0,5.0
1390,Laufenn,I FIT IZ LW51,215.0,60.0,17.0,T,96.0,7764.0,11.0,5.0
1391,Continental,Ice Contact 3 TA,205.0,50.0,17.0,T,93.0,12420.0,8.0,5.0
1392,Continental,Ice Contact 3 TA,215.0,50.0,17.0,T,95.0,15160.0,8.0,5.0
1393,Continental,Winter Contact TS 860 S,315.0,35.0,20.0,V,110.0,32640.0,8.0,2.0
1394,Continental,Ice Contact 3 TA,205.0,55.0,17.0,T,95.0,14400.0,8.0,5.0
1395,Continental,Winter Contact TS 850 P SUV,265.0,50.0,19.0,V,110.0,20700.0,8.0,2.0
1396,Continental,Winter Contact TS 860,215.0,55.0,16.0,H,97.0,10670.0,8.0,0.0
1397,Continental,Winter Contact TS 850 P,215.0,50.0,17.0,H,95.0,11640.0,8.0,0.0
1398,Continental,Ice Contact 2 SUV,265.0,45.0,20.0,T,108.0,18730.0,8.0,5.0
1399,Continental,Ice Contact 2 SUV,275.0,50.0,21.0,T,113.0,22360.0,8.0,5.0
1400,Continental,Ice Contact 3 TA,225.0,55.0,17.0,T,101.0,15470.0,8.0,5.0
1401,Continental,Ice Contact 3 TA,235.0,65.0,19.0,T,109.0,19170.0,8.0,5.0
1402,Continental,Ice Contact 3 TA,255.0,35.0,20.0,T,97.0,27840.0,8.0,5.0
1403,Continental,Ice Contact 3 TA,275.0,50.0,20.0,T,113.0,20530.0,8.0,5.0
1404,Continental,WinterContact TS 870,225.0,50.0,17.0,H,98.0,12890.0,8.0,0.0
1405,Viatti,Brina зима (V-521),235.0,45.0,17.0,T,94.0,9700.0,20.0,5.0
1406,Viatti,Brina зима (V-521),255.0,45.0,18.0,T,103.0,15240.0,20.0,5.0
1407,Viatti,Brina Nordico (V-522),195.0,50.0,15.0,T,82.0,7070.0,20.0,5.0
1408,Viatti,Brina Nordico (V-522),235.0,40.0,18.0,T,95.0,9560.0,20.0,5.0
1409,Hankook,Winter i cept iZ2 W616,225.0,45.0,17.0,T,94.0,13950.0,6.0,5.0
1410,Hankook,Winter i cept iZ2 W616,215.0,65.0,17.0,T,99.0,13360.0,6.0,5.0
1411,Hankook,Winter i cept iZ2 W616,215.0,50.0,17.0,T,95.0,12810.0,6.0,5.0
1412,Hankook,Winter i cept iZ2 W616,225.0,60.0,16.0,T,102.0,10840.0,6.0,5.0
1413,Hankook,Winter i cept iZ2 W616,225.0,50.0,17.0,T,98.0,12400.0,6.0,5.0
1414,Hankook,Winter i cept iZ2 W616,215.0,60.0,16.0,T,99.0,9090.0,6.0,5.0
1415,Hankook,Winter i cept iZ2 W616,225.0,55.0,17.0,T,101.0,13200.0,6.0,5.0
1416,Viatti,Vettore Brina зима (V-525),195.0,70.0,15.0,R,104.0,6410.0,20.0,8.0
1417,Viatti,Bosco зима (V-526),225.0,65.0,17.0,T,102.0,6360.0,20.0,5.0
1418,Hankook,Winter i Pike X W429A,235.0,55.0,19.0,T,105.0,17140.0,6.0,5.0
1419,Hankook,DynaPro i*cept X RW10,225.0,70.0,16.0,T,103.0,13340.0,6.0,5.0
1420,Hankook,DynaPro i*cept X RW10,245.0,55.0,19.0,T,107.0,16550.0,6.0,5.0
1421,Viatti,Brina зима (V-521),205.0,50.0,17.0,T,89.0,6800.0,20.0,5.0
1422,Hankook,DynaPro i*cept X RW10,235.0,65.0,17.0,T,108.0,13360.0,6.0,5.0
1423,Hankook,Winter i cept iZ2 W616,225.0,45.0,17.0,T,94.0,13950.0,6.0,5.0
1424,Hankook,Winter i cept iZ2 W616,215.0,65.0,17.0,T,99.0,13360.0,6.0,5.0
1425,Hankook,Winter i cept iZ2 W616,215.0,50.0,17.0,T,95.0,12810.0,6.0,5.0
1426,Hankook,Winter i cept iZ2 W616,225.0,60.0,16.0,T,102.0,10840.0,6.0,5.0
1427,Hankook,Winter i cept iZ2 W616,225.0,50.0,17.0,T,98.0,12400.0,6.0,5.0
1428,Hankook,Winter i cept iZ2 W616,215.0,60.0,16.0,T,99.0,9090.0,6.0,5.0
1429,Hankook,Winter i cept iZ2 W616,225.0,55.0,17.0,T,101.0,13200.0,6.0,5.0
1430,Hankook,Winter i cept iZ2 W616,215.0,65.0,16.0,T,102.0,9350.0,6.0,5.0
1431,Hankook,Winter i cept iZ2 W616,245.0,50.0,18.0,T,104.0,18820.0,6.0,5.0
1432,Hankook,Winter i cept iZ2 W616,245.0,45.0,18.0,T,100.0,17770.0,6.0,5.0
1433,Hankook,Winter i cept iZ2 W616,205.0,50.0,17.0,T,93.0,11570.0,6.0,5.0
1434,Cordiant,Snow Cross 2 SUV,225.0,55.0,18.0,T,102.0,8190.0,0.0,5.0
1435,Pirelli,Winter Sotto Zero Serie III,275.0,40.0,18.0,V,103.0,52650.0,29.0,2.0
1436,Pirelli,Winter Sotto Zero Serie III,255.0,35.0,19.0,H,96.0,27590.0,29.0,0.0
1437,Michelin,X-Ice 3,185.0,60.0,15.0,H,88.0,5990.0,19.0,0.0
1438,Michelin,X-Ice 3,235.0,55.0,20.0,H,102.0,24230.0,19.0,0.0
1439,Michelin,X-Ice North 4,235.0,40.0,18.0,T,95.0,17670.0,19.0,5.0
1440,Michelin,X-Ice North 4,285.0,40.0,19.0,H,107.0,28330.0,19.0,0.0
1441,Pirelli,Winter Sotto Zero Serie III,285.0,35.0,20.0,V,104.0,44330.0,29.0,2.0
1442,Nokian,Tyres Hakkapeliitta R5,215.0,55.0,17.0,R,98.0,18010.0,23.0,8.0
1443,Michelin,X-Ice North 4,215.0,65.0,16.0,T,102.0,10060.0,19.0,5.0
1444,Pirelli,Scorpion Ice Zero 2,315.0,30.0,22.0,H,107.0,64660.0,29.0,0.0
1445,Hankook,Winter i Pike RS2 W429,175.0,70.0,13.0,T,82.0,5660.0,6.0,5.0
1446,Cordiant,Snow Cross 2,205.0,60.0,16.0,T,96.0,5200.0,0.0,5.0
1447,Viatti,Brina зима (V-521),215.0,55.0,17.0,T,94.0,6890.0,20.0,5.0
1448,Cordiant,Snow Cross,215.0,55.0,17.0,T,98.0,6840.0,0.0,5.0
1449,Pirelli,Winter Ice Zero,215.0,70.0,16.0,T,104.0,11680.0,29.0,5.0
1450,BFGoodrich,G Force Stud,215.0,60.0,16.0,Q,99.0,8100.0,17.0,9.0
1451,Nokian,Tyres Hakkapeliitta 10p SUV,315.0,40.0,21.0,T,115.0,36190.0,23.0,5.0
1452,Continental,Ice Contact 3 TA,275.0,40.0,21.0,T,107.0,23360.0,8.0,5.0
1453,Hankook,Winter i Pike X W429A,265.0,50.0,20.0,T,111.0,20380.0,6.0,5.0
1454,Nokian,Tyres Hakkapeliitta 10p SUV,275.0,40.0,20.0,T,106.0,27270.0,23.0,5.0
1455,Dunlop,Winter Maxx WM02,215.0,50.0,17.0,T,95.0,12110.0,14.0,5.0
1456,Nokian,Tyres Hakkapeliitta R 3 SUV,255.0,55.0,20.0,R,110.0,21570.0,23.0,8.0
1457,Continental,Winter Contact TS 850 P,285.0,45.0,19.0,V,111.0,25760.0,8.0,2.0
1458,Bridgestone,Blizzak Revo GZ,195.0,65.0,15.0,S,91.0,5910.0,16.0,7.0
1459,Viatti,Brina зима (V-521),195.0,55.0,15.0,T,85.0,4890.0,20.0,5.0
1460,Cordiant,Winter Drive 2,185.0,60.0,14.0,T,86.0,3810.0,0.0,5.0
1461,Ling,Long Green-Max Winter VAN,185.0,75.0,16.0,R,104.0,5980.0,24.0,8.0
1462,Nokian,Tyres Hakkapeliitta R3,245.0,45.0,19.0,T,102.0,19420.0,23.0,5.0
