,Производитель,Модель,Ширина,Профиль,"Диаметр, R",Индекс скорости,Индекс нагрузки,Цена,Производитель_числ,Индекс скорости_числ
128,Hankook,Winter i Pike RS2 W429,175.0,65.0,14.0,T,86.0,6070.0,6.0,5.0
129,Bridgestone,Blizzak Revo GZ,185.0,60.0,15.0,S,84.0,6320.0,16.0,7.0
130,Cordiant,Winter Drive,205.0,55.0,16.0,T,94.0,4960.0,0.0,5.0
131,Nokian,Tyres Nordman 7 SUV,225.0,65.0,17.0,T,106.0,10450.0,23.0,5.0
132,Nokian,Tyres Hakkapeliitta 9 SUV,215.0,65.0,16.0,T,102.0,10880.0,23.0,5.0
133,Nokian,Tyres Nordman RS2,205.0,65.0,15.0,R,99.0,5930.0,23.0,8.0
134,Nokian,Tyres Nordman 7,195.0,55.0,16.0,T,91.0,8230.0,23.0,5.0
135,Pirelli,Winter Ice Zero,215.0,55.0,17.0,T,98.0,10490.0,29.0,5.0
136,Pirelli,Winter Ice Zero,185.0,60.0,15.0,T,88.0,6570.0,29.0,5.0
137,Кама,ALGA (НК-531),175.0,70.0,13.0,T,82.0,2790.0,13.0,5.0
138,Nokian,Tyres Nordman 8 SUV,215.0,65.0,16.0,T,102.0,9640.0,23.0,5.0
139,Hankook,Winter i Pike X W429A,205.0,70.0,15.0,T,96.0,9020.0,6.0,5.0
140,Nokian,Tyres Nordman 8,195.0,60.0,15.0,T,92.0,6690.0,23.0,5.0
141,Tunga,Nordway 2,195.0,65.0,15.0,Q,91.0,3360.0,4.0,9.0
142,Nokian,Tyres Nordman 7,195.0,60.0,16.0,T,93.0,7940.0,23.0,5.0
143,Hankook,Winter i Pike RS2 W429,215.0,65.0,16.0,T,102.0,9670.0,6.0,5.0
144,Белшина,BEL-287 Artmotionsnow,185.0,65.0,15.0,T,88.0,3580.0,25.0,5.0
145,Белшина,BEL-267 Artmotionsnow,185.0,60.0,14.0,T,82.0,3530.0,25.0,5.0
146,Ling,Long Green-Max Winter HP,175.0,70.0,13.0,T,82.0,3390.0,24.0,5.0
147,Pirelli,Winter Ice Zero,215.0,55.0,17.0,T,98.0,10490.0,29.0,5.0
148,Pirelli,Winter Ice Zero,185.0,60.0,15.0,T,88.0,6570.0,29.0,5.0
149,Nokian,Tyres Nordman RS2,205.0,65.0,15.0,R,99.0,5930.0,23.0,8.0
150,Nokian,Tyres Nordman 7,195.0,55.0,16.0,T,91.0,8230.0,23.0,5.0
151,Nokian,Tyres Nordman 8,215.0,55.0,17.0,T,98.0,13070.0,23.0,5.0
152,Hankook,Winter i Pike RS2 W429,175.0,65.0,14.0,T,86.0,6070.0,6.0,5.0
153,Bridgestone,Blizzak Revo GZ,185.0,60.0,15.0,S,84.0,6320.0,16.0,7.0
154,Cordiant,Winter Drive,205.0,55.0,16.0,T,94.0,4960.0,0.0,5.0
155,Gislaved,Nord Frost 200 HD,185.0,65.0,14.0,T,90.0,5850.0,31.0,5.0
156,Nokian,Tyres Nordman 7,185.0,70.0,14.0,T,92.0,6010.0,23.0,5.0
157,Nokian,Tyres Nordman 7 SUV,215.0,60.0,17.0,T,100.0,11550.0,23.0,5.0
158,Continental,Viking Contact 7,185.0,65.0,15.0,T,92.0,6060.0,8.0,5.0
159,Nankang,SL-6,235.0,65.0,16.0,R,115.0,7740.0,33.0,8.0
160,Nokian,Tyres Hakkapeliitta 9,215.0,60.0,16.0,T,99.0,12310.0,23.0,5.0
161,Nokian,Tyres Nordman 7,175.0,70.0,14.0,T,88.0,5560.0,23.0,5.0
162,Nokian,Tyres Nordman 7 SUV,285.0,60.0,18.0,T,116.0,13390.0,23.0,5.0
163,Nokian,Tyres Hakkapeliitta 9 SUV,215.0,60.0,17.0,T,100.0,18330.0,23.0,5.0
164,Pirelli,Formula Ice,195.0,55.0,16.0,T,91.0,6260.0,29.0,5.0
165,Pirelli,Formula Ice,185.0,60.0,14.0,T,82.0,4990.0,29.0,5.0
166,Bridgestone,Blizzak Spike-02 SUV,235.0,60.0,18.0,T,107.0,16510.0,16.0,5.0
167,Nokian,Tyres Nordman RS2,205.0,55.0,16.0,R,94.0,6630.0,23.0,8.0
168,Nokian,Tyres Hakkapeliitta 9,185.0,65.0,15.0,T,92.0,7060.0,23.0,5.0
169,Nokian,Tyres Nordman 7,185.0,65.0,14.0,T,90.0,5660.0,23.0,5.0
170,Nokian,Tyres Hakkapeliitta 9 SUV,235.0,55.0,18.0,T,104.0,18680.0,23.0,5.0
171,Nankang,SW8,225.0,60.0,18.0,T,104.0,9720.0,33.0,5.0
172,Pirelli,Ice Zero Friction,215.0,65.0,16.0,T,102.0,6450.0,29.0,5.0
173,Pirelli,Winter Ice Zero,225.0,65.0,17.0,T,106.0,10350.0,29.0,5.0
174,Pirelli,Winter Ice Zero,205.0,60.0,16.0,T,96.0,7960.0,29.0,5.0
175,Viatti,Brina Nordico (V-522),215.0,60.0,16.0,T,95.0,5520.0,20.0,5.0
176,Continental,Ice Contact 3 TA,205.0,55.0,16.0,T,94.0,9230.0,8.0,5.0
177,Кама,503,135.0,80.0,12.0,Q,68.0,3210.0,13.0,9.0
178,Nokian,Tyres Nordman RS2 SUV,215.0,65.0,16.0,R,102.0,7270.0,23.0,8.0
179,Pirelli,Ice Zero Friction,225.0,55.0,18.0,H,102.0,9250.0,29.0,0.0
180,Nokian,Tyres Nordman RS2,215.0,60.0,16.0,R,99.0,7390.0,23.0,8.0
181,Nokian,Tyres Nordman RS2,185.0,60.0,15.0,R,88.0,5450.0,23.0,8.0
182,Nokian,Tyres Nordman 7 SUV,225.0,60.0,17.0,T,103.0,11200.0,23.0,5.0
183,Nokian,Tyres Hakkapeliitta 9 SUV,235.0,55.0,19.0,T,105.0,18160.0,23.0,5.0
184,Nokian,Tyres Nordman RS2,175.0,65.0,14.0,R,86.0,4540.0,23.0,8.0
185,Tigar,Winter,225.0,45.0,17.0,H,94.0,7330.0,21.0,0.0
186,Nokian,Tyres Nordman RS2,205.0,60.0,16.0,R,96.0,6580.0,23.0,8.0
187,Viatti,Brina Nordico (V-522),205.0,55.0,16.0,T,91.0,4390.0,20.0,5.0
188,Michelin,X-Ice North 4,205.0,55.0,16.0,T,94.0,9970.0,19.0,5.0
189,Viatti,Brina Nordico (V-522),205.0,60.0,16.0,T,92.0,4880.0,20.0,5.0
190,Pirelli,Formula Ice,215.0,55.0,17.0,T,98.0,7720.0,29.0,5.0
191,Nokian,Tyres Nordman 7,155.0,65.0,14.0,T,75.0,5380.0,23.0,5.0
192,Nankang,SW8 SUV,235.0,55.0,18.0,T,104.0,8990.0,33.0,5.0
193,Nokian,Tyres Nordman 8 SUV,235.0,55.0,18.0,T,104.0,16400.0,23.0,5.0
194,Ling,Long Green-Max Winter HP,175.0,65.0,14.0,H,86.0,3190.0,24.0,0.0
195,Nokian,Tyres Nordman RS2,185.0,65.0,14.0,R,90.0,4870.0,23.0,8.0
196,Nokian,Tyres Hakkapeliitta 9 SUV,265.0,60.0,18.0,T,114.0,17330.0,23.0,5.0
197,Nokian,Tyres Hakkapeliitta 10p,185.0,65.0,15.0,T,92.0,8000.0,23.0,5.0
198,Nokian,Tyres Hakkapeliitta 9,205.0,55.0,16.0,T,94.0,9840.0,23.0,5.0
199,Cordiant,Winter Drive 2,175.0,65.0,14.0,T,86.0,3280.0,0.0,5.0
200,Pirelli,Winter Ice Zero,195.0,60.0,15.0,T,88.0,6150.0,29.0,5.0
201,Nokian,Tyres Hakkapeliitta 9,195.0,55.0,16.0,T,87.0,12040.0,23.0,5.0
202,Pirelli,Formula Ice,195.0,60.0,15.0,T,88.0,5210.0,29.0,5.0
203,Pirelli,Formula Ice,225.0,65.0,17.0,T,102.0,7430.0,29.0,5.0
204,Кама,ALGA (НК-531),195.0,65.0,15.0,T,91.0,3480.0,13.0,5.0
205,Nokian,Tyres Hakkapeliitta 10p,205.0,55.0,16.0,T,94.0,11820.0,23.0,5.0
206,Nokian,Tyres Nordman 8,205.0,60.0,16.0,T,96.0,8590.0,23.0,5.0
207,Nokian,Tyres Hakkapeliitta 10p SUV,235.0,55.0,20.0,T,102.0,25160.0,23.0,5.0
208,Viatti,Brina зима (V-521),185.0,65.0,14.0,T,86.0,3670.0,20.0,5.0
209,Pirelli,Winter Ice Zero,225.0,60.0,17.0,T,103.0,11210.0,29.0,5.0
210,Viatti,Brina Nordico (V-522),185.0,70.0,14.0,T,88.0,3650.0,20.0,5.0
211,Viatti,Brina Nordico (V-522),185.0,55.0,15.0,T,82.0,5690.0,20.0,5.0
212,Viatti,Brina Nordico (V-522),205.0,65.0,16.0,T,95.0,5470.0,20.0,5.0
213,Viatti,Brina Nordico (V-522),185.0,60.0,15.0,T,84.0,3920.0,20.0,5.0
214,Nokian,Tyres Nordman 7 SUV,215.0,65.0,16.0,T,102.0,8840.0,23.0,5.0
215,Кама,Евро 520,185.0,75.0,16.0,R,104.0,5600.0,13.0,8.0
216,Pirelli,Winter Ice Zero,175.0,65.0,14.0,T,82.0,5770.0,29.0,5.0
217,Viatti,Brina Nordico (V-522),185.0,60.0,14.0,T,82.0,3530.0,20.0,5.0
218,Кама,505,175.0,70.0,13.0,T,82.0,2660.0,13.0,5.0
219,Pirelli,Ice Zero Friction,205.0,55.0,16.0,T,94.0,5730.0,29.0,5.0
220,Pirelli,Ice Zero Friction,185.0,65.0,15.0,T,92.0,4780.0,29.0,5.0
221,Nokian,Tyres Nordman RS2,195.0,65.0,15.0,R,95.0,5140.0,23.0,8.0
222,Nokian,Tyres Nordman 7,175.0,70.0,13.0,T,82.0,5180.0,23.0,5.0
223,Nokian,Tyres Nordman 7,205.0,50.0,17.0,T,93.0,9460.0,23.0,5.0
224,Cordiant,Snow Cross 2,185.0,65.0,15.0,T,92.0,3670.0,0.0,5.0
225,Continental,Ice Contact 3 TA,195.0,65.0,15.0,T,95.0,7070.0,8.0,5.0
226,Pirelli,Formula Ice,205.0,65.0,16.0,T,99.0,6500.0,29.0,5.0
227,Pirelli,Formula Ice,175.0,65.0,14.0,T,82.0,4680.0,29.0,5.0
228,Pirelli,Formula Ice,215.0,65.0,16.0,T,98.0,7030.0,29.0,5.0
229,Nokian,Tyres Nordman 8,205.0,65.0,16.0,T,99.0,9510.0,23.0,5.0
230,Pirelli,Formula Ice,185.0,60.0,15.0,T,88.0,5070.0,29.0,5.0
231,Pirelli,Formula Ice,235.0,55.0,18.0,T,104.0,11550.0,29.0,5.0
232,Pirelli,Formula Ice,185.0,65.0,15.0,T,88.0,5090.0,29.0,5.0
233,Pirelli,Formula Ice,215.0,50.0,17.0,T,95.0,7180.0,29.0,5.0
234,Pirelli,Formula Ice,215.0,60.0,17.0,T,100.0,7980.0,29.0,5.0
